program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
1,24,0.303,426.68,1
2,55,0.32,488.58,1
3,38,0.397,402.51,1
4,56,0.327,64.38,0
5,26,0.273,456.77,1
6,17,0.085,434.42,1
7,50,0.0,300.81,1
8,13,0.499,496.52,1
9,43,0.151,57.2,0
10,32,0.358,102.13,0
11,4,0.03,185.15,0
12,3,0.171,336.81,1
13,32,0.081,355.83,1
14,40,0.281,94.11,0
15,1,0.35,149.51,0
16,55,0.425,55.12,0
17,5,0.064,340.16,1
18,26,0.475,71.44,0
19,39,0.063,18.1,0
20,52,0.128,318.31,1
21,46,0.191,54.81,0
22,5,0.394,69.58,0
23,5,0.173,25.82,0
24,48,0.154,479.7,1
25,35,0.372,376.31,1
26,41,0.312,336.57,1
27,13,0.305,373.4,1
28,26,0.478,460.02,1
29,37,0.488,436.74,1
30,29,0.151,378.14,1
31,58,0.149,240.2,0
32,36,0.455,204.86,0
33,31,0.193,111.42,0
34,30,0.031,476.87,1
35,39,0.499,148.32,0
36,36,0.448,329.79,1
37,55,0.332,234.19,0
38,49,0.445,313.75,1
39,10,0.054,26.83,0
40,39,0.453,491.13,1
41,29,0.214,175.04,0
42,59,0.491,160.22,0
43,40,0.452,250.01,0
44,52,0.346,151.38,0
45,47,0.265,246.36,0
46,33,0.005,291.26,1
47,59,0.292,193.02,0
48,8,0.242,448.68,1
49,17,0.137,257.51,0
50,37,0.425,411.97,1
51,32,0.108,149.28,0
52,16,0.111,432.59,1
53,24,0.04,464.43,1
54,32,0.493,243.23,0
55,12,0.439,101.79,0
56,40,0.439,88.12,0
57,44,0.276,397.99,1
58,10,0.429,205.97,0
59,6,0.424,50.1,0
60,38,0.367,448.79,1
61,45,0.164,493.48,1
62,19,0.061,170.97,0
63,20,0.053,415.98,1
64,43,0.083,122.92,0
65,15,0.208,228.69,0
66,25,0.007,230.93,0
67,32,0.42,412.0,1
68,50,0.019,123.88,0
69,27,0.335,373.16,1
70,51,0.475,465.09,1
71,39,0.449,118.76,0
72,29,0.131,253.31,0
73,54,0.313,147.33,0
74,56,0.312,262.98,1
75,47,0.264,81.35,0
76,13,0.497,328.16,1
77,42,0.01,384.93,1
78,46,0.129,492.63,1
79,59,0.111,444.82,1
80,36,0.147,156.27,0
81,53,0.27,79.96,0
82,28,0.382,109.43,0
83,48,0.116,400.76,1
84,5,0.382,338.94,1
85,3,0.382,274.31,0
86,53,0.247,475.44,1
87,27,0.102,229.7,0
88,34,0.325,337.16,1
89,14,0.267,55.68,0
90,22,0.415,394.12,1
91,10,0.419,237.8,0
92,1,0.452,236.14,0
93,48,0.311,49.35,0
94,16,0.332,402.54,1
95,19,0.12,240.63,0
96,37,0.313,412.63,1
97,46,0.465,251.58,0
98,57,0.462,31.24,0
99,2,0.447,474.19,1
100,19,0.258,64.29,0
101,57,0.257,474.9,1
102,9,0.232,439.09,1
103,21,0.371,380.87,1
104,5,0.285,105.23,0
105,16,0.216,238.72,0
106,59,0.356,154.73,0
107,42,0.439,78.96,0
108,21,0.427,458.65,1
109,39,0.489,313.96,1
110,55,0.187,33.74,0
111,5,0.252,123.4,0
112,3,0.37,200.78,0
113,12,0.089,360.87,1
114,46,0.069,434.24,1
115,36,0.356,278.24,0
116,11,0.144,140.64,0
117,11,0.149,413.18,1
118,24,0.318,203.85,0
119,13,0.008,305.22,1
120,21,0.237,72.57,0
121,32,0.189,88.48,0
122,32,0.192,324.34,1
123,7,0.245,84.27,0
124,22,0.122,379.53,1
125,7,0.373,409.51,1
126,50,0.368,400.68,1
127,46,0.362,83.21,0
128,7,0.325,298.37,0
129,38,0.035,115.62,0
130,35,0.181,236.88,0
131,20,0.318,172.95,0
132,29,0.097,63.34,0
133,19,0.017,472.27,1
134,25,0.319,277.24,0
135,54,0.344,156.34,0
136,53,0.358,309.25,1
137,15,0.35,382.11,1
138,42,0.497,95.07,0
139,40,0.253,261.27,0
140,42,0.048,449.96,1
141,20,0.281,36.6,0
142,15,0.178,48.25,0
143,13,0.068,212.23,0
144,39,0.484,482.41,1
145,50,0.021,112.41,0
146,53,0.323,187.21,0
147,14,0.484,108.23,0
148,40,0.34,439.71,1
149,27,0.459,89.37,0
150,46,0.148,230.71,0
151,56,0.082,19.04,0
152,5,0.485,302.6,0
153,21,0.396,485.04,1
154,49,0.173,255.51,0
155,38,0.228,61.09,0
156,44,0.171,178.8,0
157,7,0.471,100.88,0
158,3,0.084,420.23,1
159,21,0.492,13.8,0
160,11,0.402,422.71,1
161,13,0.261,41.24,0
162,44,0.364,36.83,0
163,6,0.383,456.17,1
164,44,0.47,47.52,0
165,47,0.291,66.38,0
166,47,0.082,78.58,0
167,55,0.165,58.18,0
168,41,0.112,175.71,0
169,36,0.484,341.14,1
170,3,0.134,186.8,0
171,20,0.24,387.66,1
172,54,0.187,17.86,0
173,47,0.292,327.09,1
174,38,0.1,146.52,0
175,53,0.265,165.08,0
176,37,0.131,17.79,0
177,8,0.432,153.48,0
178,43,0.287,198.24,0
179,46,0.491,217.46,0
180,22,0.269,459.16,1
181,58,0.45,351.33,1
182,28,0.297,374.2,1
183,42,0.438,413.72,1
184,13,0.362,148.42,0
185,35,0.469,420.2,1
186,44,0.332,158.08,0
187,56,0.168,323.46,1
188,15,0.466,362.35,1
189,21,0.332,148.34,0
190,40,0.413,394.41,1
191,44,0.202,448.39,1
192,7,0.468,467.29,1
193,18,0.21,446.55,1
194,37,0.253,226.61,0
195,3,0.07,486.16,1
196,13,0.253,303.29,1
