project_id,project_name,team_size,project_duration_days,budget_k,complexity,risk_level,customer_satisfaction,on_time
1,Innovative Analytics,9,201,67.48,5,Medium,53.23,False
2,Efficient Dashboard,6,181,186.47,2,Low,81.09,False
3,Dynamic System,13,344,291.69,4,Low,82.02,True
4,Innovative Optimizer,10,189,196.99,4,Medium,96.73,True
5,Innovative Solution,7,125,422.54,2,Low,100.0,True
6,Adaptive Analytics,9,262,172.19,2,Low,90.56,True
7,Agile Platform,12,209,484.36,4,Low,100.0,False
8,Dynamic Dashboard,5,142,255.77,2,Low,98.91,False
9,Integrated Solution,9,347,428.91,4,Medium,54.92,False
10,Agile Optimizer,13,81,137.47,4,Low,95.67,True
11,Dynamic Optimizer,13,297,235.11,5,Medium,82.11,False
12,Adaptive Dashboard,10,324,364.78,1,Low,82.11,False
13,Smart Solution,7,142,112.26,4,Medium,60.85,False
14,Efficient Analytics,6,130,109.74,3,Low,90.95,False
15,Strategic Management,10,142,486.29,1,Low,64.21,True
16,Robust Workflow,10,110,371.57,1,Low,84.79,True
17,Strategic Dashboard,5,216,68.48,1,Low,78.83,False
18,Robust Platform,8,142,229.47,5,Medium,62.41,True
19,Innovative Management,7,31,245.08,4,Medium,86.89,True
20,Innovative Pipeline,4,159,384.82,5,Medium,74.59,False
21,Robust Solution,10,249,162.89,4,Medium,76.74,True
22,Efficient Analytics,14,83,132.95,5,Medium,84.08,False
23,Smart Optimizer,8,253,86.39,5,Medium,74.91,True
24,Innovative Management,4,254,242.74,3,Low,89.51,False
25,Innovative Optimizer,14,155,359.82,5,Medium,83.16,True
26,Efficient Solution,7,159,76.19,2,Low,90.67,False
27,Robust Solution,3,82,461.85,3,Low,87.86,False
28,Dynamic Platform,14,201,249.06,5,Medium,92.83,True
29,Agile Dashboard,12,247,157.9,1,Low,97.42,True
30,Efficient Platform,8,189,92.24,2,Low,84.14,False
31,Dynamic Platform,14,227,132.29,2,Low,75.9,True
32,Adaptive Workflow,11,276,470.58,2,Low,91.39,True
33,Smart Pipeline,3,353,337.22,3,Low,87.16,True
34,Strategic Pipeline,13,232,282.51,5,Medium,92.09,False
35,Robust Dashboard,13,213,345.7,5,Medium,84.87,False
36,Efficient Platform,12,152,246.05,1,Low,92.64,False
37,Collaborative System,14,284,378.52,1,Low,85.13,True
38,Integrated Dashboard,14,323,71.47,2,Low,76.24,True
39,Strategic Insight,5,309,304.72,1,Low,83.02,False
40,Adaptive Workflow,14,354,121.39,3,Low,89.77,True
41,Integrated Dashboard,9,127,104.07,5,Medium,57.7,True
42,Robust Analytics,6,227,203.85,2,Low,97.42,False
43,Dynamic Analytics,11,269,91.31,1,Low,100.0,False
44,Robust Management,5,173,92.37,3,Low,65.55,False
45,Efficient Platform,7,126,190.14,3,Low,71.0,False
46,Dynamic Solution,5,230,490.78,1,Low,87.3,True
47,Robust Dashboard,9,153,128.9,5,Medium,69.17,False
48,Smart Management,7,216,57.72,1,Low,87.61,True
49,Smart System,11,355,393.51,2,Low,84.28,True
50,Efficient System,9,288,413.11,1,Low,74.76,True
51,Dynamic Optimizer,4,177,205.84,3,Low,97.88,True
52,Integrated Workflow,6,281,259.1,1,Low,89.65,False
53,Collaborative Management,11,176,342.4,5,Medium,69.4,True
54,Collaborative Management,14,177,71.63,4,Low,100.0,True
55,Robust Dashboard,4,228,477.12,1,Low,79.92,True
56,Strategic Optimizer,12,337,449.01,5,Medium,62.58,True
57,Smart Platform,11,157,167.4,5,Medium,76.84,False
58,Agile Platform,12,68,56.89,3,Low,88.53,True
59,Strategic System,7,158,470.05,5,Medium,80.32,False
60,Adaptive Solution,4,296,275.47,5,Medium,81.96,False
61,Innovative Management,6,180,292.72,5,Medium,80.16,False
62,Adaptive Solution,14,327,357.78,5,Medium,79.75,False
63,Smart Optimizer,14,128,327.13,2,Low,79.26,True
64,Efficient Optimizer,9,292,474.75,2,Low,78.19,False
65,Agile Platform,14,281,474.91,3,Low,92.42,True
66,Integrated Workflow,10,173,440.24,1,Low,87.43,True
67,Robust Platform,5,141,336.38,5,Medium,83.2,False
68,Efficient Management,3,89,410.43,1,Low,67.93,True
69,Strategic Insight,6,31,354.73,1,Low,79.99,True
70,Agile Workflow,4,333,308.02,3,Low,100.0,False
71,Integrated System,10,283,107.83,5,Medium,80.53,True
72,Integrated Platform,6,169,415.04,5,Medium,77.96,False
73,Efficient Optimizer,4,66,419.29,4,Medium,82.08,True
74,Collaborative Dashboard,8,189,331.67,1,Low,100.0,False
75,Strategic Pipeline,8,38,419.19,1,Low,100.0,True
76,Strategic Optimizer,12,262,343.17,2,Low,69.2,False
77,Integrated Analytics,6,128,143.01,4,Medium,62.89,False
78,Collaborative Pipeline,8,176,173.28,2,Low,68.87,True
79,Smart Analytics,4,333,146.57,2,Low,77.53,False
80,Innovative Pipeline,12,237,219.77,2,Low,85.55,True
81,Efficient Dashboard,14,160,67.53,3,Low,87.42,True
82,Agile Dashboard,4,181,328.21,3,Low,69.7,True
83,Collaborative Platform,12,83,201.45,2,Low,66.33,True
84,Innovative Insight,6,149,345.08,4,Medium,67.35,True
85,Innovative Optimizer,10,190,223.43,1,Low,94.16,False
86,Strategic System,9,145,356.73,4,Medium,85.9,False
87,Smart Optimizer,14,104,203.28,5,Medium,92.06,False
88,Strategic Workflow,11,142,167.31,3,Low,84.68,True
89,Integrated Solution,10,133,273.22,1,Low,93.28,True
90,Adaptive Dashboard,7,283,361.8,1,Low,95.1,True
91,Integrated Dashboard,4,256,206.75,5,Medium,70.03,True
92,Efficient Management,7,141,471.49,5,Medium,78.88,True
93,Robust Insight,10,128,67.63,2,Low,91.59,True
94,Integrated Insight,12,182,238.08,3,Low,75.91,False
95,Innovative Dashboard,11,223,485.41,3,Low,100.0,True
96,Dynamic Platform,14,339,296.59,4,Low,84.61,True
97,Robust Analytics,14,192,240.56,2,Low,85.87,True
98,Collaborative Optimizer,14,237,305.83,2,Low,75.53,True
99,Dynamic Solution,11,198,309.17,2,Low,77.21,True
100,Dynamic Analytics,3,190,379.24,2,Low,63.03,False
101,Innovative Analytics,11,97,107.46,3,Low,85.55,True
102,Dynamic Platform,9,318,162.51,3,Low,100.0,True
103,Agile Pipeline,11,306,311.24,2,Low,74.81,True
104,Innovative Optimizer,10,333,440.2,4,Medium,100.0,False
105,Dynamic Workflow,3,164,302.84,1,Low,99.14,False
106,Smart Dashboard,14,224,157.37,1,Low,80.26,False
107,Integrated System,10,157,355.93,4,Medium,75.27,False
108,Collaborative Solution,10,62,382.96,2,Low,83.65,True
109,Smart Dashboard,13,205,157.21,3,Low,100.0,True
110,Smart Management,5,51,219.98,1,Low,90.17,False
111,Dynamic Platform,3,267,290.45,5,Medium,86.82,False
112,Innovative Management,10,187,273.45,5,Medium,78.58,False
113,Robust Management,5,67,225.33,4,Medium,73.88,False
114,Adaptive Insight,5,259,183.94,2,Low,88.26,False
115,Agile Platform,3,80,94.99,1,Low,80.93,True
116,Agile Management,13,293,74.07,2,Low,70.48,False
117,Robust Platform,7,312,481.34,1,Low,93.14,False
118,Dynamic Dashboard,12,56,431.21,4,Low,69.99,True
119,Dynamic Optimizer,9,255,209.71,4,Medium,72.31,False
